"2022/04/28","16:03:40",583.08,600
460,141,141,
461,135,135,
462,145,145,
463,136,136,
464,133,133,
465,155,155,
466,155,155,
467,160,160,
468,133,133,
469,140,140,
470,149,149,
471,148,148,
472,145,145,
473,157,157,
474,135,135,
475,160,160,
476,143,143,
477,130,130,
478,152,152,
479,149,149,
480,139,139,
481,162,162,
482,163,163,
483,130,130,
484,151,151,
485,138,138,
486,145,145,
487,141,141,
488,130,130,
489,143,143,
490,150,150,
491,141,141,
492,143,143,
493,133,133,
494,156,156,
495,133,133,
496,143,143,
497,146,146,
498,142,142,
499,150,150,
500,149,149,
501,131,131,
502,143,143,
503,137,137,
504,143,143,
505,129,129,
506,134,134,
507,114,114,
508,122,122,
509,150,150,
510,137,137,
511,137,137,
512,136,136,
513,110,110,
514,118,118,
515,126,126,
516,129,129,
517,136,136,
518,123,123,
519,125,125,
520,134,134,
521,143,143,
522,148,148,
523,140,140,
524,150,150,
525,156,156,
526,136,136,
527,150,150,
528,142,142,
529,136,136,
530,146,146,
531,133,133,
532,147,147,
533,125,125,
534,132,132,
535,135,135,
536,121,121,
537,146,146,
538,166,166,
539,132,132,
540,128,128,
541,138,138,
542,137,137,
543,127,127,
544,127,127,
545,120,120,
546,144,144,
547,131,131,
548,142,142,
549,132,132,
550,127,127,
551,139,139,
552,129,129,
553,132,132,
554,112,112,
555,139,139,
556,128,128,
557,131,131,
558,132,132,
559,132,132,
560,138,138,
561,144,144,
562,118,118,
563,104,104,
564,135,135,
565,133,133,
566,147,147,
567,116,116,
568,110,110,
569,104,104,
570,120,120,
571,130,130,
572,147,147,
573,143,143,
574,142,142,
575,147,147,
576,120,120,
577,114,114,
578,135,135,
579,137,137,
580,130,130,
581,127,127,
582,128,128,
583,137,137,
584,116,116,
585,118,118,
586,135,135,
587,143,143,
588,130,130,
589,127,127,
590,118,118,
591,151,151,
592,119,119,
593,128,128,
594,118,118,
595,124,124,
596,109,109,
597,112,112,
598,131,131,
599,128,128,
600,129,129,
601,137,137,
602,151,151,
603,165,165,
604,143,143,
605,171,171,
606,128,128,
607,141,141,
608,121,121,
609,121,121,
610,100,100,
611,106,106,
612,140,140,
613,133,133,
614,134,134,
615,119,119,
616,149,149,
617,127,127,
618,135,135,
619,116,116,
620,101,101,
621,120,120,
622,124,124,
623,121,121,
624,121,121,
625,132,132,
626,107,107,
627,125,125,
628,124,124,
629,112,112,
630,114,114,
631,124,124,
632,125,125,
633,114,114,
634,112,112,
635,118,118,
636,130,130,
637,127,127,
638,131,131,
639,119,119,
640,88,88,
641,133,133,
642,120,120,
643,142,142,
644,143,143,
645,108,108,
646,116,116,
647,121,121,
648,150,150,
649,94,94,
650,112,112,
651,116,116,
652,129,129,
653,126,126,
654,116,116,
655,114,114,
656,132,132,
657,130,130,
658,132,132,
659,116,116,
660,127,127,
661,128,128,
662,122,122,
663,133,133,
664,110,110,
665,124,124,
666,129,129,
667,127,127,
668,129,129,
669,122,122,
670,135,135,
671,122,122,
672,125,125,
673,126,126,
674,97,97,
675,123,123,
676,121,121,
677,150,150,
678,122,122,
679,134,134,
680,140,140,
681,116,116,
682,110,110,
683,120,120,
684,123,123,
685,126,126,
686,128,128,
687,123,123,
688,130,130,
689,155,155,
690,141,141,
691,147,147,
692,129,129,
693,125,125,
694,103,103,
695,118,118,
696,114,114,
697,121,121,
698,133,133,
699,121,121,
700,110,110,
701,115,115,
702,125,125,
703,134,134,
704,115,115,
705,123,123,
706,108,108,
707,123,123,
708,137,137,
709,112,112,
710,119,119,
711,139,139,
712,101,101,
713,109,109,
714,133,133,
715,128,128,
716,139,139,
717,114,114,
718,130,130,
719,141,141,
720,182,182,
721,205,205,
722,172,172,
723,125,125,
724,130,130,
725,101,101,
726,117,117,
727,112,112,
728,116,116,
729,110,110,
730,115,115,
731,109,109,
732,140,140,
733,126,126,
734,126,126,
735,113,113,
736,123,123,
737,131,131,
738,117,117,
739,125,125,
740,114,114,
741,118,118,
742,126,126,
743,128,128,
744,143,143,
745,115,115,
746,118,118,
747,131,131,
748,126,126,
749,131,131,
750,145,145,
751,136,136,
752,132,132,
753,123,123,
754,133,133,
755,111,111,
756,118,118,
757,115,115,
758,108,108,
759,117,117,
760,143,143,
761,117,117,
762,133,133,
763,108,108,
764,122,122,
765,121,121,
766,120,120,
767,115,115,
768,120,120,
769,156,156,
770,124,124,
771,131,131,
772,133,133,
773,112,112,
774,121,121,
775,125,125,
776,144,144,
777,105,105,
778,123,123,
779,118,118,
780,143,143,
781,123,123,
782,111,111,
783,134,134,
784,134,134,
785,126,126,
786,117,117,
787,131,131,
788,152,152,
789,121,121,
790,116,116,
791,126,126,
792,143,143,
793,105,105,
794,127,127,
795,131,131,
796,112,112,
797,124,124,
798,111,111,
799,111,111,
800,123,123,
801,111,111,
802,129,129,
803,124,124,
804,112,112,
805,129,129,
806,132,132,
807,120,120,
808,115,115,
809,100,100,
810,126,126,
811,131,131,
812,114,114,
813,126,126,
814,133,133,
815,131,131,
816,117,117,
817,117,117,
818,113,113,
819,123,123,
820,116,116,
821,130,130,
822,132,132,
823,100,100,
824,132,132,
825,122,122,
826,141,141,
827,114,114,
828,132,132,
829,125,125,
830,124,124,
831,132,132,
832,114,114,
833,117,117,
