"2022/04/28","14:39:58",515.64,595.76
376,905,905,
377,947,947,
378,937,937,
379,881,881,
380,897,897,
381,932,932,
382,866,866,
383,908,908,
384,911,911,
385,886,886,
386,895,895,
387,865,865,
388,862,862,
389,897,897,
390,862,862,
391,864,864,
392,819,819,
393,916,916,
394,944,944,
395,895,895,
396,848,848,
397,969,969,
398,892,892,
399,862,862,
400,841,841,
401,885,885,
402,862,862,
403,822,822,
404,847,847,
405,845,845,
406,839,839,
407,886,886,
408,873,873,
409,855,855,
410,855,855,
411,889,889,
412,882,882,
413,875,875,
414,928,928,
415,871,871,
416,816,816,
417,807,807,
418,878,878,
419,811,811,
420,798,798,
421,859,859,
422,797,797,
423,845,845,
424,847,847,
425,803,803,
426,824,824,
427,815,815,
428,817,817,
429,820,820,
430,833,833,
431,839,839,
432,781,781,
433,822,822,
434,848,848,
435,788,788,
436,837,837,
437,783,783,
438,807,807,
439,763,763,
440,858,858,
441,837,837,
442,825,825,
443,874,874,
444,802,802,
445,797,797,
446,756,756,
447,777,777,
448,802,802,
449,780,780,
450,797,797,
451,818,818,
452,846,846,
453,804,804,
454,751,751,
455,851,851,
456,766,766,
457,790,790,
458,747,747,
459,771,771,
460,814,814,
461,841,841,
462,816,816,
463,796,796,
464,799,799,
465,803,803,
466,762,762,
467,816,816,
468,753,753,
469,803,803,
470,791,791,
471,784,784,
472,769,769,
473,782,782,
474,800,800,
475,784,784,
476,769,769,
477,812,812,
478,761,761,
479,863,863,
480,769,769,
481,814,814,
482,793,793,
483,739,739,
484,784,784,
485,783,783,
486,723,723,
487,779,779,
488,831,831,
489,739,739,
490,777,777,
491,791,791,
492,754,754,
493,733,733,
494,743,743,
495,749,749,
496,829,829,
497,798,798,
498,781,781,
499,740,740,
500,781,781,
501,759,759,
502,757,757,
503,778,778,
504,782,782,
505,697,697,
506,797,797,
507,769,769,
508,770,770,
509,756,756,
510,748,748,
511,762,762,
512,775,775,
513,754,754,
514,718,718,
515,761,761,
516,782,782,
517,783,783,
518,726,726,
519,710,710,
520,750,750,
521,734,734,
522,755,755,
523,708,708,
524,794,794,
525,743,743,
526,798,798,
527,764,764,
528,745,745,
529,745,745,
530,769,769,
531,714,714,
532,783,783,
533,771,771,
534,776,776,
535,774,774,
536,695,695,
537,733,733,
538,729,729,
539,771,771,
540,721,721,
541,751,751,
542,697,697,
543,738,738,
544,690,690,
545,737,737,
546,716,716,
547,749,749,
548,800,800,
549,752,752,
550,738,738,
551,757,757,
552,771,771,
553,790,790,
554,765,765,
555,748,748,
556,694,694,
557,738,738,
558,752,752,
559,764,764,
560,721,721,
561,699,699,
562,682,682,
563,735,735,
564,724,724,
565,714,714,
566,696,696,
567,744,744,
568,707,707,
569,706,706,
570,742,742,
571,771,771,
572,739,739,
573,768,768,
574,773,773,
575,744,744,
576,691,691,
577,744,744,
578,741,741,
579,741,741,
580,711,711,
581,768,768,
582,763,763,
583,716,716,
584,703,703,
585,742,742,
586,707,707,
587,755,755,
588,718,718,
589,712,712,
590,707,707,
591,696,696,
592,773,773,
593,732,732,
594,731,731,
595,753,753,
596,748,748,
597,702,702,
598,722,722,
599,689,689,
600,695,695,
601,748,748,
602,731,731,
603,761,761,
604,762,762,
605,776,776,
606,723,723,
607,723,723,
608,716,716,
609,766,766,
610,753,753,
611,741,741,
612,733,733,
613,724,724,
614,737,737,
615,783,783,
616,793,793,
617,787,787,
618,687,687,
619,775,775,
620,680,680,
621,774,774,
622,731,731,
623,739,739,
624,801,801,
625,735,735,
626,688,688,
627,728,728,
628,751,751,
629,719,719,
630,729,729,
631,730,730,
632,761,761,
633,711,711,
634,695,695,
635,698,698,
636,726,726,
637,734,734,
638,713,713,
639,711,711,
640,754,754,
641,732,732,
642,725,725,
643,762,762,
644,731,731,
645,696,696,
646,750,750,
647,733,733,
648,740,740,
649,731,731,
650,732,732,
651,687,687,
652,710,710,
653,761,761,
654,741,741,
655,795,795,
656,732,732,
657,726,726,
658,714,714,
659,748,748,
660,736,736,
661,738,738,
662,710,710,
663,760,760,
664,722,722,
665,715,715,
666,769,769,
667,701,701,
668,745,745,
669,752,752,
670,707,707,
671,701,701,
672,733,733,
673,742,742,
674,683,683,
675,755,755,
676,749,749,
677,786,786,
678,739,739,
679,750,750,
680,777,777,
681,712,712,
682,718,718,
683,709,709,
684,754,754,
685,743,743,
686,720,720,
687,745,745,
688,759,759,
689,785,785,
690,722,722,
691,784,784,
692,728,728,
693,699,699,
694,724,724,
695,700,700,
696,728,728,
697,728,728,
698,720,720,
699,701,701,
700,749,749,
701,716,716,
702,701,701,
703,711,711,
704,698,698,
705,697,697,
706,733,733,
707,706,706,
708,759,759,
709,696,696,
710,758,758,
711,725,725,
712,756,756,
713,788,788,
714,746,746,
715,732,732,
716,722,722,
717,712,712,
718,682,682,
719,728,728,
720,755,755,
721,744,744,
722,776,776,
723,737,737,
724,705,705,
725,718,718,
726,759,759,
727,678,678,
728,676,676,
729,742,742,
730,695,695,
731,744,744,
732,737,737,
733,690,690,
734,798,798,
735,723,723,
736,753,753,
737,753,753,
738,732,732,
739,775,775,
740,771,771,
741,724,724,
742,750,750,
743,759,759,
744,689,689,
745,742,742,
746,754,754,
