"2022/04/28","14:22:15",229.24,600
364,6988,6988,
365,6889,6889,
366,6810,6810,
367,6887,6887,
368,6877,6877,
369,6883,6883,
370,6893,6893,
371,7015,7015,
372,6953,6953,
373,7042,7042,
374,7045,7045,
375,7003,7003,
376,7132,7132,
377,6924,6924,
378,6886,6886,
379,7124,7124,
380,6905,6905,
381,7047,7047,
382,6899,6899,
383,6988,6988,
384,7007,7007,
385,7051,7051,
386,6993,6993,
387,6890,6890,
388,7001,7001,
389,7046,7046,
390,6965,6965,
391,7065,7065,
392,6958,6958,
393,7058,7058,
394,7086,7086,
395,6955,6955,
396,6960,6960,
397,7033,7033,
398,6942,6942,
399,6943,6943,
400,6893,6893,
401,7164,7164,
402,7090,7090,
403,7133,7133,
404,7180,7180,
405,7232,7232,
406,7051,7051,
407,7129,7129,
408,7128,7128,
409,7290,7290,
410,7295,7295,
411,7286,7286,
412,7120,7120,
413,7262,7262,
414,7275,7275,
415,7348,7348,
416,7207,7207,
417,7247,7247,
418,7326,7326,
419,7300,7300,
420,7304,7304,
421,7307,7307,
422,7290,7290,
423,7226,7226,
424,7285,7285,
425,7300,7300,
426,7401,7401,
427,7263,7263,
428,7309,7309,
429,7464,7464,
430,7453,7453,
431,7545,7545,
432,7252,7252,
433,7414,7414,
434,7376,7376,
435,7385,7385,
436,7514,7514,
437,7443,7443,
438,7342,7342,
439,7520,7520,
440,7712,7712,
441,7565,7565,
442,7476,7476,
443,7723,7723,
444,7785,7785,
445,7541,7541,
446,7775,7775,
447,7689,7689,
448,7842,7842,
449,7727,7727,
450,7695,7695,
451,7860,7860,
452,7873,7873,
453,7733,7733,
454,7970,7970,
455,7715,7715,
456,8034,8034,
457,7918,7918,
458,7735,7735,
459,8006,8006,
460,7940,7940,
461,8014,8014,
462,8068,8068,
463,7960,7960,
464,8074,8074,
465,8194,8194,
466,8098,8098,
467,8151,8151,
468,8210,8210,
469,8315,8315,
470,8146,8146,
471,8223,8223,
472,8293,8293,
473,8378,8378,
474,8092,8092,
475,8374,8374,
476,8167,8167,
477,8349,8349,
478,8302,8302,
479,8441,8441,
480,8522,8522,
481,8586,8586,
482,8447,8447,
483,8540,8540,
484,8501,8501,
485,8696,8696,
486,8700,8700,
487,8746,8746,
488,8681,8681,
489,8805,8805,
490,8919,8919,
491,8850,8850,
492,8773,8773,
493,8886,8886,
494,9055,9055,
495,8949,8949,
496,9093,9093,
497,9033,9033,
498,9208,9208,
499,9121,9121,
500,9221,9221,
501,9275,9275,
502,9409,9409,
503,9227,9227,
504,9426,9426,
505,9532,9532,
506,9496,9496,
507,9592,9592,
508,9625,9625,
509,9695,9695,
510,9662,9662,
511,9684,9684,
512,9672,9672,
513,9700,9700,
514,9868,9868,
515,9864,9864,
516,10144,10144,
517,10112,10112,
518,9921,9921,
519,10315,10315,
520,10142,10142,
521,10245,10245,
522,10411,10411,
523,10222,10222,
524,10408,10408,
525,10401,10401,
526,10509,10509,
527,10650,10650,
528,10648,10648,
529,10648,10648,
530,10675,10675,
531,10927,10927,
532,10968,10968,
533,10984,10984,
534,10909,10909,
535,11146,11146,
536,11266,11266,
537,11279,11279,
538,11338,11338,
539,11474,11474,
540,11568,11568,
541,11547,11547,
542,11587,11587,
543,11794,11794,
544,11825,11825,
545,11840,11840,
546,11822,11822,
547,11892,11892,
548,12128,12128,
549,12000,12000,
550,12148,12148,
551,12079,12079,
552,12154,12154,
553,11984,11984,
554,12021,12021,
555,12124,12124,
556,12033,12033,
557,11811,11811,
558,11906,11906,
559,11567,11567,
560,11300,11300,
561,11043,11043,
562,10562,10562,
563,10455,10455,
564,9855,9855,
565,9457,9457,
566,9012,9012,
567,8820,8820,
568,8635,8635,
569,8455,8455,
570,8180,8180,
571,7880,7880,
572,7932,7932,
573,7654,7654,
574,7447,7447,
575,7352,7352,
576,7317,7317,
577,7166,7166,
578,7032,7032,
579,7017,7017,
580,6926,6926,
581,6965,6965,
582,6749,6749,
583,6705,6705,
584,6791,6791,
585,6469,6469,
586,6350,6350,
587,6464,6464,
588,6400,6400,
589,6206,6206,
590,6214,6214,
591,6113,6113,
592,6120,6120,
593,5945,5945,
594,6070,6070,
595,5945,5945,
596,5792,5792,
597,6040,6040,
598,5744,5744,
599,5701,5701,
600,5775,5775,
601,5661,5661,
602,5717,5717,
603,5429,5429,
604,5447,5447,
605,5564,5564,
606,5432,5432,
607,5369,5369,
608,5229,5229,
609,5243,5243,
610,5102,5102,
611,5299,5299,
612,5011,5011,
613,5065,5065,
614,5002,5002,
615,5073,5073,
616,4921,4921,
617,4853,4853,
